image_id,number_of_fixations,view_time_total_sum,fixation_duration_mean_weighted,fixation_duration_median_approx,scanpath_length_mean,BCEA_68_mean,BCEA_95_mean,primary_label_top,pupil_size_norm_mean,pupil_size_norm_std,fix_dur_mean_first_third,fix_dur_mean_last_third,n_fix_first_third,n_fix_last_third
001,1159,425375.042,284.32901999567684,232.3629999999993,3688.463661048069,72008.69006600388,189496.55280527336,meme,2.1014754117252155e-16,1.0,274.5909499465251,311.45011037619787,406,378
002,1284,452560.267,274.5776793337439,232.92699999999968,2665.5615729867427,60359.429234805764,158840.60324948886,meme,-2.3777671402927825e-16,1.0,270.5700464437224,286.0480762748689,440,434
003,1110,411435.771,296.86351035330046,245.25175000000013,3022.8340806008005,40009.274302045065,105287.56395275016,meme,2.7723667537131653e-16,1.0,261.32323741287047,375.53569729274864,415,350
004,1354,469790.081,280.16254607070385,216.58799999999928,3536.8907755536648,87693.36249704676,230772.00657117568,meme,-7.328157196819734e-17,1.0,269.5140036086246,306.05353139999926,477,445
005,1359,460515.114,265.49676162754133,216.4310000000005,3734.5270531332444,90696.08108480132,238673.89759158244,meme,-4.1744513715279226e-17,1.0,255.63179686138403,281.616678649242,480,435
006,1209,414304.85,260.88167346715306,232.86000000000013,3376.023058471772,106973.13090757253,281508.239230454,meme,1.145180080041846e-16,1.0,250.95830560141908,287.1645633698477,440,375
007,1224,429382.963,278.4084822238025,216.7275,3953.095335977309,79180.77001716854,208370.44741360145,meme,5.300824386413807e-16,1.0,262.91194412125435,292.2215392984173,436,394
008,1108,433119.649,318.7515675660009,232.58825000000036,2988.267205553702,97520.44743923504,256632.7564190396,meme,7.728491001997364e-16,1.0,313.981582958072,358.66054708899316,378,362
009,1417,461028.574,262.61013810004323,232.7150000000001,3678.8422861209056,111612.60023286384,293717.36903385224,meme,-5.0388673198218805e-17,1.0,244.31350884958587,273.93028813405925,512,449
010,1469,510861.931,288.14049174595584,241.23400000000004,2811.817559718667,55985.49608290401,147330.2528497474,meme,-1.8639757913566073e-16,1.0,275.804482339066,289.6341733906283,530,474
