image_id,primary_label,fixations_total,fixations_first_third,fixations_last_third,view_time_total_sum_ms,fixation_duration_mean_ms,fixation_duration_median_ms,fix_dur_mean_first_third_ms,fix_dur_mean_last_third_ms,scanpath_length_mean_px,fixation_density_entropy,pupil_mm_mean,pupil_mm_std,pupil_norm_mean,pupil_norm_std,pupil_norm_abs_mean,pupil_norm_rms,pupil_size_norm_n,avg_pupil_size_n
001,meme,1159,406,378,425375.0,284.3,232.4,274.6,311.5,3688.5,3.693,3.722,0.172,0.0,1.0,0.795,0.97,23.632653061224488,23.653061224489797
002,meme,1284,440,434,452560.0,274.6,232.9,270.6,286.0,2665.6,4.168,3.706,0.146,-0.0,1.0,0.782,0.976,26.20408163265306,26.20408163265306
003,meme,1110,415,350,411436.0,296.9,245.3,261.3,375.5,3022.8,3.988,3.839,0.182,0.0,1.0,0.797,0.974,23.104166666666668,23.125
004,meme,1354,477,445,469790.0,280.2,216.6,269.5,306.1,3536.9,4.2,3.761,0.164,-0.0,1.0,0.792,0.977,27.632653061224488,27.632653061224488
005,meme,1359,480,435,460515.0,265.5,216.4,255.6,281.6,3734.5,4.155,4.008,0.204,-0.0,1.0,0.776,0.975,27.73469387755102,27.73469387755102
006,meme,1209,440,375,414305.0,260.9,232.9,251.0,287.2,3376.0,4.323,3.499,0.185,0.0,1.0,0.774,0.977,24.653061224489797,24.6734693877551
007,meme,1224,436,394,429383.0,278.4,216.7,262.9,292.2,3953.1,4.082,3.636,0.173,0.0,1.0,0.756,0.968,24.979591836734695,24.979591836734695
008,meme,1108,378,362,433120.0,318.8,232.6,314.0,358.7,2988.3,3.8,4.016,0.196,0.0,1.0,0.789,0.974,23.083333333333332,23.083333333333332
009,meme,1417,512,449,461029.0,262.6,232.7,244.3,273.9,3678.8,4.222,4.057,0.176,-0.0,1.0,0.789,0.98,28.897959183673468,28.918367346938776
010,meme,1469,530,474,510862.0,288.1,241.2,275.8,289.6,2811.8,4.454,3.706,0.166,-0.0,1.0,0.797,0.975,29.979591836734695,29.979591836734695
011,ort,1335,500,426,423063.0,240.8,216.1,211.5,263.4,2640.7,4.413,3.404,0.177,0.0,1.0,0.759,0.977,27.244897959183675,27.244897959183675
012,ort,2157,730,703,596537.0,217.3,199.8,217.6,224.8,4368.6,5.229,3.55,0.149,0.0,1.0,0.76,0.988,44.916666666666664,44.9375
013,ort,1334,476,428,410592.0,229.3,207.8,223.9,255.1,2506.1,4.44,3.304,0.188,-0.0,1.0,0.762,0.972,27.224489795918366,27.224489795918366
014,ort,1279,453,407,428833.0,252.8,232.7,244.7,270.6,3018.6,4.373,3.729,0.183,-0.0,1.0,0.784,0.971,26.102040816326532,26.102040816326532
015,ort,1402,472,473,499968.0,299.4,249.6,307.5,281.9,2204.9,4.505,3.542,0.146,-0.0,1.0,0.772,0.98,29.208333333333332,29.208333333333332
016,ort,1341,510,397,414617.0,229.4,199.7,201.1,274.7,2458.1,4.449,3.917,0.17,0.0,1.0,0.792,0.978,27.346938775510203,27.367346938775512
017,ort,1408,522,420,417331.0,220.0,199.7,200.7,253.7,3050.0,4.509,3.851,0.164,-0.0,1.0,0.791,0.979,28.73469387755102,28.73469387755102
018,ort,1194,436,365,440636.0,308.8,241.6,264.0,391.7,2864.2,4.295,3.361,0.211,0.0,1.0,0.744,0.975,24.875,24.875
019,ort,1207,449,375,434756.0,298.5,249.6,261.7,370.8,3018.2,4.314,3.567,0.182,0.0,1.0,0.77,0.975,25.145833333333332,25.145833333333332
020,ort,1330,486,432,455952.0,285.3,241.3,256.3,343.6,2829.9,4.417,3.769,0.224,-0.0,1.0,0.786,0.979,27.122448979591837,27.142857142857142
021,ort,1383,493,456,443916.0,255.8,216.7,251.3,282.6,3485.8,4.496,3.482,0.178,0.0,1.0,0.779,0.978,29.425531914893618,29.425531914893618
022,ort,1233,445,392,432555.0,280.9,237.6,258.2,328.5,2700.2,4.245,3.468,0.179,-0.0,1.0,0.764,0.972,25.6875,25.6875
023,ort,944,352,290,388293.0,339.1,249.6,318.1,483.4,1933.3,3.94,3.52,0.196,0.0,1.0,0.787,0.969,19.666666666666668,19.666666666666668
024,ort,1293,453,420,468276.0,288.2,249.6,273.6,342.8,2819.6,4.407,3.618,0.181,0.0,1.0,0.797,0.974,26.387755102040817,26.387755102040817
025,ort,1408,483,458,494335.0,285.3,233.1,283.2,291.5,3294.1,4.391,3.668,0.157,-0.0,1.0,0.794,0.981,29.333333333333332,29.333333333333332
