label_combination,label_description,meme,person,politik,ort,text,fixations_mean_per_participant,fixations_first_third_per_participant,fixations_last_third_per_participant,view_time_mean_per_participant_ms,fixation_duration_mean_ms,fix_dur_mean_first_third_ms,fix_dur_mean_last_third_ms,scanpath_length_mean_px,fixation_density_entropy,pupil_mm_mean,image_count
01000,person,0,1,0,0,0,25.471,8.98,8.273,9060.514,290.419,278.838,320.319,2876.406,4.124,3.817,47
00010,ort,0,0,0,1,0,25.0,8.952,8.006,8887.43,291.45,272.644,353.706,2790.894,4.277,3.597,16
10001,"meme, text",1,0,0,0,1,34.029,12.166,10.77,9894.133,225.044,208.881,253.219,3771.694,4.701,3.603,16
01100,"person, politik",0,1,1,0,0,25.327,8.907,8.281,9038.801,290.531,279.577,320.592,2988.7,4.035,3.747,13
01101,"person, politik, text",0,1,1,0,1,33.327,11.954,10.505,10513.881,252.767,236.892,284.85,3314.783,4.573,3.633,12
10101,"meme, politik, text",1,0,1,0,1,37.941,13.412,12.224,10963.735,224.018,209.736,239.755,4410.636,4.827,3.51,11
10000,meme,1,0,0,0,0,25.904,9.212,8.359,9119.133,281.03,267.96,306.23,3345.63,4.108,3.795,10
01001,"person, text",0,1,0,0,1,27.839,9.796,8.898,9147.114,268.33,261.07,301.95,3084.27,4.321,3.683,10
00011,"ort, text",0,0,0,1,1,30.8,11.098,9.653,9486.122,240.756,224.589,277.611,2755.167,4.616,3.602,9
00001,text,0,0,0,0,1,36.98,13.102,11.578,10256.639,214.167,198.4,246.9,3679.067,4.936,3.503,3
00101,"politik, text",0,0,1,0,1,38.469,13.503,12.442,11149.973,229.833,217.433,238.8,3555.333,5.043,3.335,3
11101,"meme, person, politik, text",1,1,1,0,1,27.429,10.531,8.153,8998.0,261.8,223.35,319.45,3563.15,4.313,3.667,2
