image_id,primary_label_from_code,labels_union,codes_present,participants,records,code_meme,code_person,code_politik,code_ort,code_text
001,meme,meme,10000,49,49,1,0,0,0,0
002,meme,meme,10000,49,49,1,0,0,0,0
003,meme,meme,10000,48,48,1,0,0,0,0
004,meme,meme,10000,49,49,1,0,0,0,0
005,meme,meme,10000,49,49,1,0,0,0,0
006,meme,meme,10000,49,49,1,0,0,0,0
007,meme,meme,10000,49,49,1,0,0,0,0
008,meme,meme,10000,48,48,1,0,0,0,0
009,meme,meme,10000,49,49,1,0,0,0,0
010,meme,meme,10000,49,49,1,0,0,0,0
011,multi,"person,text",01001,49,49,0,1,0,0,1
012,multi,"person,text",01001,48,48,0,1,0,0,1
013,multi,"person,text",01001,49,49,0,1,0,0,1
014,person,person,01000,49,49,0,1,0,0,0
015,multi,"person,text",01001,48,48,0,1,0,0,1
016,multi,"person,text",01001,49,49,0,1,0,0,1
017,multi,"person,text",01001,49,49,0,1,0,0,1
018,person,person,01000,48,48,0,1,0,0,0
019,person,person,01000,48,48,0,1,0,0,0
020,person,person,01000,49,49,0,1,0,0,0
021,person,person,01000,47,47,0,1,0,0,0
022,person,person,01000,48,48,0,1,0,0,0
023,person,person,01000,48,48,0,1,0,0,0
024,person,person,01000,49,49,0,1,0,0,0
025,person,person,01000,48,48,0,1,0,0,0
026,person,person,01000,49,49,0,1,0,0,0
027,person,person,01000,48,48,0,1,0,0,0
028,person,person,01000,49,49,0,1,0,0,0
029,person,person,01000,48,48,0,1,0,0,0
030,person,person,01000,48,48,0,1,0,0,0
031,person,person,01000,49,49,0,1,0,0,0
032,person,person,01000,48,48,0,1,0,0,0
033,multi,"politik,text",00101,47,47,0,0,1,0,1
034,multi,"politik,text",00101,49,49,0,0,1,0,1
035,politik,politik,00100,48,48,0,0,1,0,0
036,politik,politik,00100,49,49,0,0,1,0,0
037,politik,politik,00100,49,49,0,0,1,0,0
038,politik,politik,00100,48,48,0,0,1,0,0
039,politik,politik,00100,49,49,0,0,1,0,0
040,politik,politik,00100,47,47,0,0,1,0,0
041,politik,politik,00100,49,49,0,0,1,0,0
042,politik,politik,00100,47,47,0,0,1,0,0
043,politik,politik,00100,48,48,0,0,1,0,0
044,politik,politik,00100,47,47,0,0,1,0,0
045,politik,politik,00100,47,47,0,0,1,0,0
046,politik,politik,00100,48,48,0,0,1,0,0
047,politik,politik,00100,48,48,0,0,1,0,0
048,politik,politik,00100,49,49,0,0,1,0,0
049,politik,politik,00100,48,48,0,0,1,0,0
050,politik,politik,00100,49,49,0,0,1,0,0
051,politik,politik,00100,49,49,0,0,1,0,0
052,politik,politik,00100,48,48,0,0,1,0,0
053,politik,politik,00100,48,48,0,0,1,0,0
054,politik,politik,00100,49,49,0,0,1,0,0
055,politik,politik,00100,49,49,0,0,1,0,0
056,politik,politik,00100,48,48,0,0,1,0,0
057,politik,politik,00100,49,49,0,0,1,0,0
058,politik,politik,00100,49,49,0,0,1,0,0
059,politik,politik,00100,49,49,0,0,1,0,0
060,politik,politik,00100,48,48,0,0,1,0,0
061,politik,politik,00100,49,49,0,0,1,0,0
062,politik,politik,00100,48,48,0,0,1,0,0
063,politik,politik,00100,49,49,0,0,1,0,0
064,politik,politik,00100,48,48,0,0,1,0,0
065,politik,politik,00100,48,48,0,0,1,0,0
066,politik,politik,00100,48,48,0,0,1,0,0
067,politik,politik,00100,49,49,0,0,1,0,0
068,politik,politik,00100,49,49,0,0,1,0,0
069,politik,politik,00100,48,48,0,0,1,0,0
070,politik,politik,00100,49,49,0,0,1,0,0
071,politik,politik,00100,49,49,0,0,1,0,0
072,politik,politik,00100,46,46,0,0,1,0,0
073,politik,politik,00100,49,49,0,0,1,0,0
074,multi,"politik,text",00101,49,49,0,0,1,0,1
075,politik,politik,00100,49,49,0,0,1,0,0
076,multi,"politik,text",00101,49,49,0,0,1,0,1
077,politik,politik,00100,48,48,0,0,1,0,0
078,politik,politik,00100,49,49,0,0,1,0,0
079,politik,politik,00100,48,48,0,0,1,0,0
080,politik,politik,00100,49,49,0,0,1,0,0
081,politik,politik,00100,48,48,0,0,1,0,0
082,multi,"politik,text",00101,48,48,0,0,1,0,1
083,politik,politik,00100,49,49,0,0,1,0,0
084,multi,"politik,text",00101,49,49,0,0,1,0,1
085,multi,"politik,text",00101,48,48,0,0,1,0,1
086,politik,politik,00100,47,47,0,0,1,0,0
087,multi,"politik,text",00101,49,49,0,0,1,0,1
088,multi,"politik,ort,text",00111,48,48,0,0,1,1,1
